codigo,nombre,anio,area,regimen,tipologia,horas_teoricas,horas_practicas,horas_autonomas_override,valor_cre_override,horas_estimadas,notas
01,Introducción a la Filosofía,1,FGC,A,teorica,84,0,,,False,
02,Sociología,1,FGC,A,teorica,84,0,,,False,
03,Antropología Cultural,1,FGC,S,teorica,84,0,,,False,
04,Psicología del Desarrollo I,1,FB,A,practica_supervisada,84,14,,,False,
05,Historia y Corrientes de la Psicología,1,FB,S,teorica,70,0,,,False,
06,Introducción a la Psicología,1,FB,S,teorica,70,0,,,False,
07,Teorías de la Personalidad,1,FB,S,teorica,42,0,,,False,
08,Lógica y Epistemología,1,FB,S,teorica,56,0,,,False,
09,Psicoanálisis,1,FB,A,teorica,84,0,,,False,
10,Seminario de Integración I,1,FCI,S,taller,28,0,,,False,
11,Antropología Filosófica,2,FGC,A,teorica,70,0,,,False,
12,Bases Neurobiológicas,2,FB,A,teorica,112,0,,,False,
13,Psicología del Desarrollo II,2,FB,A,practica_supervisada,84,14,,,False,
14,Metodología de la Investigación I,2,FB,S,practica_supervisada,56,14,,,False,
15,Introducción a la Psicopatología,2,FP,S,practica_supervisada,60,10,,,False,
16,Teoría y Abordaje Gestáltico,2,FP,S,practica_supervisada,76,10,,,False,
17,Teoría y Abordaje Cognitivo-conductual,2,FP,S,practica_supervisada,76,10,,,False,
18,Teoría y Abordaje de la Logoterapia,2,FP,S,practica_supervisada,76,10,,,False,
19,Seminario de Integración II,2,FCI,S,taller,28,0,,,False,
20,Teología I,2,FCI,S,teorica,42,0,,,False,
21,Sistemas Sociales,3,FGC,S,teorica,84,0,,,False,
22,Psicología del Desarrollo III,3,FB,A,practica_supervisada,84,14,,,False,
23,Neuropsicología,3,FB,S,teorica,42,0,,,False,
24,Metodología de la Investigación II,3,FB,S,practica_supervisada,56,14,,,False,
25,Psicoestadística,3,FB,S,teorica,42,0,,,False,
26,Psicopatología del Adulto y Geronte,3,FP,A,practica_supervisada,98,14,,,False,
27,Técnicas de Exploración Psicológica I,3,FP,A,practica_supervisada,94,18,,,False,
28,Teoría y Abordaje Sistémico,3,FP,S,practica_supervisada,76,10,,,False,
29,Optativa I,3,FCI,S,optativa,36,0,,,False,
30,Taller de Reflexión I,3,FCI,S,taller,28,0,,,False,
31,Teología II,3,FCI,S,teorica,42,0,,,False,
32,Discusión Filosófica de los Paradigmas Psicológicos,4,FGC,A,teorica,70,0,,,True,Horas reconstruidas para cuadrar total anual 750 h del plan.
33,Psicofarmacología,4,FB,S,teorica,42,0,,,True,Horas reconstruidas para cuadrar total anual 750 h del plan.
34,Técnicas de Exploración Psicológica II,4,FP,A,practica_supervisada,94,18,,,False,
35,Psicopatología Infanto-Juvenil,4,FP,A,practica_supervisada,84,14,,,True,Horas reconstruidas para cuadrar total anual 750 h del plan.
36,Psicología Educacional,4,FP,S,practica_supervisada,74,10,,,False,
37,Psicología Social y Comunitaria,4,FP,S,practica_supervisada,74,10,,,False,
38,Abordaje Psicoanalítico del Adulto,4,FP,S,practica_supervisada,62,8,,,True,Horas reconstruidas para cuadrar total anual 750 h del plan.
39,Abordaje Psicoanalítico Infanto-Juvenil,4,FP,S,practica_supervisada,62,8,,,True,Horas reconstruidas para cuadrar total anual 750 h del plan.
40,Ética General y Profesional,4,FP,S,teorica,56,0,,,False,
41,Optativa II,4,FCI,S,optativa,36,0,,,False,
42,Taller de Reflexión II,4,FCI,S,taller,28,0,,,False,
43,Proceso Psicodiagnóstico,5,FP,A,practica_supervisada,60,10,,,False,
44,Psicología Jurídica,5,FP,S,practica_supervisada,74,10,,,False,
45,Psicología Laboral y Organizacional,5,FP,S,practica_supervisada,74,10,,,False,
46,Optativa III,5,FCI,S,optativa,36,0,,,False,
47,Optativa IV,5,FCI,S,optativa,36,0,,,False,
48,Taller de Reflexión III,5,FCI,S,taller,28,0,,,False,
49,Doctrina Social de la Iglesia,5,FCI,S,teorica,42,0,,,False,
50,Práctica Profesional Supervisada (PPS),5,FP,A,pps,30,250,,,False,
51,Trabajo Integrador Final (TIF),5,FP,A,tif,50,0,,,False,
